id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2231,2020-01-14,000002,Vente,946350,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0141,,,,,,,,,,,,,0,,,,,S,sols,,,43,6.113697,46.327721
2020-2231,2020-01-14,000002,Vente,946350,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0142,,,,,,,,,,,,,0,,,,,S,sols,,,20,6.11367,46.327687
2020-2232,2020-01-14,000003,Vente,,2,,RTE DE SAUVERNY,0120,01220,01180,Grilly,01,,,01180000AP0132,,,,,,,,,,,,,0,1,Maison,226,5,S,sols,,,1000,6.110928,46.328701
2020-2232,2020-01-14,000003,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0139,,,,,,,,,,,,,0,,,,,S,sols,,,2879,6.112776,46.328009
2020-2232,2020-01-14,000003,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0140,,,,,,,,,,,,,0,,,,,S,sols,,,928,6.111095,46.328689
2020-2232,2020-01-14,000003,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0141,,,,,,,,,,,,,0,,,,,S,sols,,,43,6.113697,46.327721
2020-2232,2020-01-14,000003,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0142,,,,,,,,,,,,,0,,,,,S,sols,,,20,6.11367,46.327687
2020-2233,2020-01-13,000001,Vente,178150,2,,RUE DU FOUR,0080,01470,01403,Serrières-de-Briord,01,,,014030000B0135,,,,,,,,,,,,,0,1,Maison,63,3,S,sols,,,170,5.454142,45.805375
2020-2233,2020-01-13,000001,Vente,178150,,,PETIT SERRIERES,B033,01470,01403,Serrières-de-Briord,01,,,014030000B2030,,,,,,,,,,,,,0,,,,,S,sols,,,35,5.454255,45.805384
2020-2234,2020-01-16,000001,Vente,63000,294,,CHE DU BAS DARDY,0013,01150,01202,Lagnieu,01,,,012020000L2368,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,611,5.319866,45.862512
